generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
74,4,7,5,89,1,0,0,85,4,1,0,9,26,42,13,
2,81,6,1,5,59,17,9,69,2,5,14,69,0,4,17,
65,8,10,7,40,20,6,24,74,16,0,0,56,30,4,0,
84,5,1,0,63,25,1,1,16,7,42,25,4,53,19,14,
88,2,0,0,53,14,4,19,38,19,0,33,18,11,52,9,
45,1,37,7,48,31,4,7,42,25,13,10,14,10,6,60,
15,52,21,2,60,11,11,8,46,9,6,29,17,32,10,31,
29,21,11,29,72,5,13,0,45,37,2,6,90,0,0,0,
49,20,8,13,77,6,7,0,31,33,20,6,87,0,0,3,
9,45,24,12,90,0,0,0,16,38,20,16,67,5,2,16,
66,10,6,8,5,6,21,58,80,2,8,0,66,15,1,8,
25,31,0,34,8,4,38,40,1,8,61,20,72,5,6,7,
61,10,0,19,76,1,2,11,28,13,22,27,37,46,2,5,
52,17,14,7,54,35,1,0,87,2,0,1,2,8,29,51,
4,21,13,52,24,50,11,5,28,8,8,46,65,8,6,11,
12,56,15,7,37,19,29,5,84,6,0,0,61,18,3,8,
78,0,0,12,25,47,7,11,26,49,15,0,59,7,10,14,
2,73,3,12,47,1,42,0,24,65,0,1,31,39,6,14,
11,1,60,18,68,1,5,16,87,2,0,1,2,53,29,6,
33,21,6,30,11,52,8,19,35,20,20,15,1,67,22,0,
87,2,0,1,35,3,48,4,17,36,27,10,31,23,1,35,
8,72,7,3,82,0,8,0,0,36,27,27,0,80,7,3,

generation ID:,1
78,7,1,4,78,6,6,0,25,33,22,10,75,2,7,6,
75,8,7,0,45,20,11,14,81,4,0,5,74,7,5,4,
38,36,11,5,33,0,31,26,27,28,23,12,4,75,10,1,
20,16,18,36,13,62,10,5,32,2,27,29,2,28,42,18,
44,19,11,16,45,18,17,10,11,73,6,0,56,9,4,21,
54,22,3,11,18,51,11,10,56,1,32,1,42,5,0,43,
70,13,1,6,72,3,3,12,21,29,7,33,27,51,10,2,
12,4,3,71,63,0,17,10,76,10,2,2,65,3,16,6,
32,22,0,36,29,36,6,19,32,35,18,5,7,12,33,38,
73,10,7,0,7,74,1,8,38,30,8,14,29,2,23,36,
8,41,16,25,4,39,23,24,80,1,2,7,37,25,18,10,
77,4,1,8,52,17,2,19,3,33,36,18,9,23,11,47,
71,13,0,6,56,2,24,8,7,66,7,10,73,13,0,4,
78,10,1,1,53,5,14,18,70,19,0,1,65,13,11,1,
14,15,59,2,3,20,33,34,82,2,0,6,24,3,27,36,
59,4,19,8,63,15,2,10,14,36,23,17,45,15,26,4,
75,2,2,11,6,33,33,18,2,82,4,2,34,0,46,10,
81,7,0,2,36,47,4,3,61,18,3,8,64,11,15,0,
44,38,3,5,23,8,58,1,73,9,3,5,8,65,14,3,
62,28,0,0,20,30,14,26,71,9,6,4,58,26,0,6,
84,5,0,1,68,15,1,6,57,30,2,1,19,16,0,55,
51,22,4,13,75,15,0,0,64,9,13,4,30,14,1,45,
